Top of The Market Rating,Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
97.33,1,1,3,TGS,Transportadora De Gas Sa Ord B,55.16,Buy
96.39,1,1,17,NBIX,"Neurocrine Biosciences, Inc.",35.55,Buy
93.19,1,2,17,GSH,Guangshen Railway Company Limited,47.74,Buy
92.79,1,1,17,ALEX,"Alexander & Baldwin Holdings, Inc.",21.15,Buy
92.12,1,1,5,GFF,Griffon Corporation,37.25,Buy
91.57,1,1,6,QUAD,"Quad Graphics, Inc",41.16,Buy
91.47,1,1,4,FDP,"Fresh Del Monte Produce, Inc.",27.35,Buy
91.25,1,1,17,QVCB,Liberty Interactive Corporation,14.99,Buy
91.02,1,1,1,LRCX,Lam Research Corporation,5.11,Buy
91.01,1,1,2,CVCO,"Cavco Industries, Inc.",11.71,Buy
91.0,6,1,17,ARCH,"Arch Coal, Inc.",23.01,Buy
90.86,1,1,4,APOG,"Apogee Enterprises, Inc.",24.29,Buy
90.85,1,1,5,MXL,"MaxLinear, Inc",30.94,Buy
90.71,1,1,17,AERI,"Aerie Pharmaceuticals, Inc.",12.85,Buy
90.22,1,1,17,VEDL,Vedanta  Limited,10.89,Buy
90.1,1,1,2,GOOG,Alphabet Inc.,7.16,Buy
89.93,1,1,5,MU,"Micron Technology, Inc.",26.3,Buy
89.27,1,1,2,FB,"Facebook, Inc.",3.01,Buy
89.27,1,1,2,NOVT,Novanta Inc.,3.04,Buy
89.03,1,1,3,AGO,Assured Guaranty Ltd.,8.46,Buy
88.95,1,1,6,DAL,"Delta Air Lines, Inc.",28.08,Buy
88.8,1,1,5,USNA,"USANA Health Sciences, Inc.",20.69,Buy
88.45,1,2,17,CHL,China Mobile (Hong Kong) Ltd.,28.81,Buy
88.23,1,1,6,SWM,"Schweitzer-Mauduit International, Inc.",24.48,Buy
87.78,1,2,1,THO,"Thor Industries, Inc.",13.88,Buy
87.75,1,1,17,LEXEB,"Liberty Expedia Holdings, Inc.",1.01,Buy
87.66,1,1,17,BEDU,Bright Scholar Education Holdings Limited,0.66,Buy
87.5,3,1,17,AIMT,"Aimmune Therapeutics, Inc.",72.73,Buy
87.5,3,1,17,GBT,"Global Blood Therapeutics, Inc.",76.86,Buy
87.5,2,1,17,OR,Osisko Gold Royalties Ltd,0,
87.5,3,1,17,PUMP,ProPetro Holding Corp.,52.73,Buy
87.06,1,1,3,ALGN,"Align Technology, Inc.",-1.36,Buy
86.92,2,1,1,CVGW,"Calavo Growers, Inc.",9.6,Buy
86.8,1,1,5,AVGO,Broadcom Limited,10.66,Buy
86.74,1,1,5,LBRDA,Liberty Broadband Corporation,10.37,Buy
86.71,2,1,2,WAL,Western Alliance Bancorporation,15.22,Buy
86.68,2,1,17,TWNK,"Hostess Brands, Inc.",21.73,Buy
86.67,1,2,3,GGAL,Grupo Financiero Galicia S.A.,21.68,Buy
86.6,1,2,4,CENTA,Central Garden & Pet Company,28.0,Buy
86.6,1,1,17,LEXEA,"Liberty Expedia Holdings, Inc.",-3.61,Buy
86.48,2,1,2,NWL,Newell Brands Inc.,14.07,Buy
86.43,1,1,6,TSEM,Tower Semiconductor Ltd.,15.5,Buy
86.43,1,2,1,TLK,"PT Telekomunikasi Indonesia, Tbk",7.17,Buy
86.4,1,1,4,OSUR,"OraSure Technologies, Inc.",1.99,Buy
86.4,1,2,2,LUV,Southwest Airlines Company,13.69,Buy
86.34,2,1,17,AZUL,Azul S.A.,20.34,Buy
86.29,1,1,5,PBA,Pembina Pipeline Corp.,8.11,Buy
85.86,1,1,5,BAM,Brookfield Asset Management Inc,5.99,Buy
85.86,2,1,1,TMO,Thermo Fisher Scientific Inc,4.3,Buy
85.84,2,1,5,SLM,SLM Corporation,30.87,Buy
85.75,3,1,3,EBIX,"Ebix, Inc.",42.09,Buy
85.75,2,1,2,MHK,"Mohawk Industries, Inc.",10.44,Buy
85.72,2,1,1,V,Visa Inc.,3.62,Buy
85.67,1,2,8,EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,146.46,Buy
85.64,2,1,1,UNH,UnitedHealth Group Incorporated,3.2,Buy
85.54,2,1,5,NGHC,National General Holdings Corp,29.35,Buy
85.54,2,1,1,NEE,"NextEra Energy, Inc.",2.69,Buy
85.47,2,1,1,LCII,LCI Industries ,16.88,
85.47,1,2,1,SHW,Sherwin-Williams Company (The),2.37,Buy
85.46,1,1,4,ILG,"ILG, Inc",11.85,
85.41,1,2,17,ORAN,Orange,16.66,Buy
85.34,1,1,7,ELY,Callaway Golf Company,16.69,Buy
85.33,1,1,12,VDTH,Videocon d2h Limited,57.95,Buy
85.27,1,1,6,BABA,Alibaba Group Holding Limited,9.68,Buy
85.24,1,1,6,FSS,Federal Signal Corporation,9.53,Buy
85.23,2,1,5,TJX,"TJX Companies, Inc. (The)",27.8,Buy
85.12,1,2,3,DLX,Deluxe Corporation,13.94,Buy
84.8,1,2,2,FMS,Fresenius Medical Care Corporation,5.66,Buy
84.73,1,1,7,MOMO,Momo Inc.,13.66,Buy
84.68,2,1,5,MIC,Macquarie Infrastructure Company,25.05,Buy
84.4,1,2,2,ETFC,E*TRADE Financial Corporation,3.66,Buy
84.38,3,1,17,JAG,Jagged Peak Energy Inc.,37.51,Buy
84.34,1,2,17,CRH,CRH PLC,12.34,Buy
84.33,1,1,6,TRP,TransCanada Corporation,4.96,Buy
84.33,1,2,9,TRQ,Turquoise Hill Resources Ltd.,51.41,Buy
84.31,2,1,5,SABR,Sabre Corporation,23.23,Buy
84.18,1,1,7,CTRP,"Ctrip.com International, Ltd.",10.89,Buy
84.03,1,2,2,IPGP,IPG Photonics Corporation,1.84,Buy
83.89,1,2,5,ALSN,"Allison Transmission Holdings, Inc.",21.1,Buy
83.86,2,1,2,COHR,"Coherent, Inc.",0.96,Buy
83.81,3,1,3,SIMO,Silicon Motion Technology Corporation,32.36,Buy
83.81,1,2,5,CIEN,Ciena Corporation,20.71,Buy
83.81,2,1,17,INVH,Invitation Homes Inc.,10.24,Buy
83.66,1,2,17,JHX,James Hardie Industries plc.,9.63,Buy
83.6,1,1,5,TAL,TAL Education Group,-5.35,Buy
83.57,2,1,3,EEFT,"Euronet Worldwide, Inc.",6.2,Buy
83.47,1,2,3,A,"Agilent Technologies, Inc.",5.69,Buy
83.43,3,1,17,CJ,C,33.72,Buy
83.18,1,2,7,FOX,"Twenty-First Century Fox, Inc.",30.91,Buy
83.18,2,1,4,DOOR,Masonite International Corporation,10.89,Buy
83.17,1,2,4,SNX,Synnex Corporation,10.86,Buy
83.14,3,1,17,INSM,"Insmed, Inc.",32.56,Buy
83.12,1,2,3,DHI,"D.R. Horton, Inc.",3.94,Buy
83.11,3,1,17,NCSM,"NCS Multistage Holdings, Inc.",32.42,Buy
83.08,1,2,5,MRVL,Marvell Technology Group Ltd.,17.07,Buy
83.08,1,2,3,MFC,Manulife Financial Corp,3.73,Buy
83.0,2,1,10,OPK,"Opko Health, Inc.",86.34,Buy
82.88,1,1,11,PAM,Pampa Energia S.A.,31.05,Buy
82.87,2,2,2,HD,"Home Depot, Inc. (The)",21.04,Buy
82.82,2,1,7,BURL,"Burlington Stores, Inc.",29.1,Buy
82.72,1,2,5,KRNY,Kearny Financial,15.25,Buy
82.7,1,2,9,KW,Kennedy-Wilson Holdings Inc.,41.81,Buy
82.64,2,1,6,FNGN,"Financial Engines, Inc.",21.53,Buy
82.61,2,1,17,BGNE,"BeiGene, Ltd.",5.44,Buy
82.54,3,1,5,SBGI,"Sinclair Broadcast Group, Inc.",39.37,Buy
82.51,1,2,5,JBLU,JetBlue Airways Corporation,14.24,Buy
82.46,1,2,8,MDR,"McDermott International, Inc.",33.99,Buy
82.46,2,1,3,EDU,"New Oriental Education & Technology Group, Inc.",0.63,Buy
82.45,2,2,1,AMAT,"Applied Materials, Inc.",12.23,Buy
82.32,1,2,4,RHT,"Red Hat, Inc.",6.59,Buy
82.21,3,1,17,PSDO,"Presidio, Inc.",28.85,Buy
82.16,2,1,17,IBN,ICICI Bank Limited,3.63,Buy
82.1,3,1,1,FDX,FedEx Corporation,10.49,Buy
82.09,2,2,1,OC,Owens Corning Inc,10.44,Buy
81.89,1,2,5,BDC,Belden Inc,11.13,Buy
81.87,3,1,1,MTN,"Vail Resorts, Inc.",9.33,Buy
81.82,1,2,6,MLCO,Melco Resorts & Entertainment Limited,17.43,Buy
81.8,2,2,5,ROST,"Ross Stores, Inc.",35.67,Buy
81.66,1,2,5,MNST,Monster Beverage Corporation,9.99,Buy
81.65,1,2,3,HCSG,"Healthcare Services Group, Inc.",-3.44,Buy
81.57,2,1,5,MMSI,"Merit Medical Systems, Inc.",9.52,Buy
81.56,1,2,4,EL,"Estee Lauder Companies, Inc. (The)",2.81,Buy
81.55,1,2,6,SKYW,"SkyWest, Inc.",16.09,Buy
81.53,1,2,7,WES,"Western Gas Partners, LP",22.66,Buy
81.52,1,2,17,CUK,Carnival Corporation,1.07,Buy
81.48,2,2,2,IBKC,IBERIABANK Corporation,14.09,Buy
81.47,3,1,2,CMCSA,Comcast Corporation,14.01,Buy
81.46,1,2,5,PKX,POSCO,8.98,Buy
81.34,2,2,2,IPAR,"Inter Parfums, Inc.",13.36,Buy
81.33,1,2,17,ING,"ING Group, N.V.",0.32,Buy
81.33,2,2,2,INN,"Summit Hotel Properties, Inc.",13.31,Buy
81.25,4,1,17,CDEV,"Centennial Resource Development, Inc.",56.94,Buy
81.25,3,2,17,XOG,"Extraction Oil & Gas, Inc.",90.56,Buy
81.25,4,1,17,UPL,Ultra Petroleum Corp.,52.82,Buy
81.24,1,2,5,CP,Canadian Pacific Railway Limited,7.86,Buy
81.15,3,1,5,BOFI,"BofI Holding, Inc.",32.41,Buy
81.13,1,1,8,BBU,Brookfield Business Partners L.P.,2.33,Buy
81.12,1,2,3,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,-6.08,Buy
81.07,3,1,3,OCLR,"Oclaro, Inc.",18.69,Buy
81.07,1,2,4,BCO,Brink&#39;s Company (The),0.35,Buy
81.07,1,2,10,MBI,"MBIA, Inc.",40.37,Buy
81.03,1,2,4,CNS,Cohen & Steers Inc,0.17,Buy
80.97,2,2,1,ICE,Intercontinental Exchange Inc.,4.87,Buy
80.96,2,1,4,SPGI,S&P Global Inc.,-0.19,Buy
80.94,3,1,17,UNIT,Uniti Group Inc.,23.74,Buy
80.87,3,1,3,GWB,"Great Western Bancorp, Inc.",17.66,Buy
80.85,2,2,5,ULTA,"Ulta Beauty, Inc.",30.91,Buy
80.83,2,2,17,WPPGY,WPP plc,23.33,Buy
80.8,3,1,3,FN,Fabrinet,17.35,Buy
80.77,1,2,3,ISRG,"Intuitive Surgical, Inc.",-7.81,Buy
80.76,2,2,2,BANR,Banner Corporation,10.46,Buy
80.76,1,1,5,TVTY,"Tivity Health, Inc.",-0.3,
80.76,1,2,5,WY,Weyerhaeuser Company,5.48,Buy
80.75,2,2,1,CCL,Carnival Corporation,3.75,Buy
80.74,3,1,2,LOPE,"Grand Canyon Education, Inc.",10.35,Buy
80.71,2,2,2,STZ,Constellation Brands Inc,10.2,Buy
80.67,3,1,8,TIVO,TiVo Corporation,55.04,Buy
80.67,3,1,8,XPER,Xperi Corporation,65.0,Buy
80.67,3,1,8,AGRO,Adecoagro S.A.,51.15,Buy
80.67,3,1,8,SLCA,"U.S. Silica Holdings, Inc.",104.08,Buy
80.58,1,1,9,BPY,Brookfield Property Partners L.P.,6.24,Buy
80.58,3,1,5,GVA,Granite Construction Incorporated,29.59,Buy
80.56,1,2,6,NCS,"NCI Building Systems, Inc.",11.11,Buy
80.51,3,1,17,NBLX,Noble Midstream Partners LP,22.03,Buy
80.51,2,2,1,TSS,"Total System Services, Inc.",2.56,Buy
80.49,2,1,6,FUN,"Cedar Fair, L.P.",10.79,Buy
80.48,2,2,1,ATO,Atmos Energy Corporation,2.39,Buy
80.48,2,2,1,HON,Honeywell International Inc.,2.39,Buy
80.39,2,1,6,TEDU,"Tarena International, Inc.",10.28,Buy
80.39,2,2,4,BIG,"Big Lots, Inc.",21.95,Buy
80.38,2,2,1,MA,Mastercard Incorporated,1.91,Buy
80.36,3,1,2,ORBK,Orbotech Ltd.,8.46,Buy
80.34,1,2,2,NVDA,NVIDIA Corporation,-16.64,Buy
80.34,1,2,5,VEEV,Veeva Systems Inc.,3.36,Buy
80.34,4,1,17,WRD,WildHorse Resource Development Corporation,46.34,Buy
80.33,2,1,12,AMRN,Amarin Corporation plc,69.9,Buy
80.33,3,1,5,IX,Orix Corp Ads,28.33,Buy
80.32,2,2,5,FIVE,"Five Below, Inc.",28.26,Buy
80.32,1,2,5,AAN,"Aaron&#39;s,  Inc.",3.27,Buy
80.32,3,1,17,WOW,"WideOpenWest, Inc.",21.29,Buy
80.28,2,2,2,PEP,"Pepsico, Inc.",8.07,Buy
80.27,2,1,5,EPAM,"EPAM Systems, Inc.",3.02,Buy
80.25,3,1,5,NXST,"Nexstar Media Group, Inc.",27.93,Buy
80.22,3,1,2,ASGN,"On Assignment, Inc.",7.77,Buy
80.16,3,1,17,CLVS,"Clovis Oncology, Inc.",20.63,Buy
80.13,3,1,3,CHFC,Chemical Financial Corporation,13.96,Buy
80.09,3,1,3,GT,The Goodyear Tire & Rubber Company,13.77,Buy
80.08,3,1,3,SBUX,Starbucks Corporation,13.75,Buy
80.04,1,2,5,RYAAY,Ryanair Holdings plc,1.88,Buy
80.02,2,1,6,KB,KB Financial Group Inc,8.41,Buy
79.98,3,1,17,GCP,GCP Applied Technologies Inc.,19.94,Buy
79.97,2,2,2,WM,"Waste Management, Inc.",6.54,Buy
79.96,1,2,8,VRNT,Verint Systems Inc.,21.48,Buy
79.87,1,1,11,NOMD,Nomad Foods Limited,16.04,Buy
79.84,3,1,2,SSNC,"SS&C Technologies Holdings, Inc.",5.87,Buy
79.84,2,2,2,EW,Edwards Lifesciences Corporation,5.86,Buy
79.76,3,1,3,STMP,Stamps.com Inc.,12.14,Buy
79.75,3,1,3,LKQ,LKQ Corporation,12.09,Buy
79.75,3,1,17,GTT,"GTT Communications, Inc.",19.01,Buy
79.72,3,1,2,GOOGL,Alphabet Inc.,5.28,Buy
79.7,3,1,4,IBP,"Installed Building Products, Inc.",18.51,Buy
79.67,2,2,1,PGR,Progressive Corporation (The),-1.67,Buy
79.66,3,1,4,JCOM,"j2 Global, Inc.",18.29,Buy
79.64,1,2,8,LBTYK,Liberty Global plc,19.87,Buy
79.64,3,1,4,MSCC,Microsemi Corporation,18.21,Buy
79.64,2,2,2,CI,Cigna Corporation,4.85,Buy
79.63,2,2,17,TTM,Tata Motors Ltd,18.54,Buy
79.55,1,2,6,KLXI,KLX Inc.,6.08,Buy
79.54,3,2,3,PLCE,"Children&#39;s Place, Inc. (The)",36.05,Buy
79.53,1,2,5,AAOI,"Applied Optoelectronics, Inc.",-0.66,Buy
79.52,3,1,7,TPC,Tutor Perini Corporation,37.59,Buy
79.5,2,2,1,FNF,"Fidelity National Financial, Inc.",-2.48,Buy
79.34,1,2,5,TX,Ternium S.A.,-1.61,Buy
79.32,1,2,10,PBR,Petroleo Brasileiro S.A.- Petrobras,31.58,Buy
79.31,2,2,2,AMWD,American Woodmark Corporation,3.24,Buy
79.3,2,2,2,GIB,"CGI Group, Inc.",3.15,Buy
79.28,2,1,8,HQY,"HealthEquity, Inc.",18.05,Buy
79.27,3,1,4,NUE,Nucor Corporation,16.35,Buy
79.23,2,2,5,UAL,"United Continental Holdings, Inc.",22.82,Buy
79.22,3,1,2,PEGA,Pegasystems Inc.,2.77,Buy
79.2,2,2,3,ORCL,Oracle Corporation,9.34,Buy
79.18,3,1,7,ROCK,"Gibraltar Industries, Inc.",35.92,Buy
79.17,2,2,3,EWBC,"East West Bancorp, Inc.",9.17,Buy
79.17,3,1,17,GDI,"Gardner Denver Holdings, Inc.",16.68,Buy
79.17,2,2,3,PH,Parker-Hannifin Corporation,9.18,Buy
79.15,2,2,2,ICLR,ICON plc,2.4,Buy
79.12,3,1,5,SINA,Sina Corporation,22.27,Buy
79.1,1,2,6,WLK,Westlake Chemical Corporation,3.81,Buy
79.07,3,1,17,QVCA,Liberty Interactive Corporation,16.28,Buy
79.07,2,2,4,PATK,"Patrick Industries, Inc.",15.33,Buy
79.07,2,2,17,PLYA,Playa Hotels & Resorts N.V.,16.28,Buy
79.06,1,2,5,IBA,"Industrias Bachoco, S.A. de C.V.",-3.05,Buy
79.05,1,2,8,POST,"Post Holdings, Inc.",16.9,Buy
79.05,2,2,4,TSN,"Tyson Foods, Inc.",15.24,Buy
79.03,2,2,5,ALK,"Alaska Air Group, Inc.",21.83,Buy
79.0,2,1,6,BGCP,"BGC Partners, Inc.",3.31,Buy
78.98,3,1,8,CPE,Callon Petroleum Company,41.55,Buy
78.96,3,1,6,WAGE,"WageWorks, Inc.",28.11,Buy
78.94,3,1,17,HGV,Hilton Grand Vacations Inc.,15.76,Buy
78.92,3,1,4,BERY,"Berry Global Group, Inc.",14.58,Buy
78.88,3,1,4,GPK,Graphic Packaging Holding Company,14.38,Buy
78.84,2,2,4,MCHP,Microchip Technology Incorporated,14.21,Buy
78.83,2,2,1,COO,"Cooper Companies, Inc. (The)",-5.83,Buy
78.82,3,1,3,MNR,Monmouth Real Estate Investment Corporation,7.42,Buy
78.82,2,2,2,SYK,Stryker Corporation,0.79,Buy
78.81,3,1,6,VGR,Vector Group Ltd.,27.36,Buy
78.77,1,2,8,LBTYB,Liberty Global plc,15.5,Buy
78.73,2,2,3,ADBE,Adobe Systems Incorporated,7.0,Buy
78.72,3,1,3,LHCG,LHC Group,6.91,Buy
78.72,2,2,6,BWP,Boardwalk Pipeline Partners L.P.,26.95,Buy
78.72,2,2,3,LLL,"L3 Technologies, Inc.",6.93,Buy
78.62,2,2,1,AVY,Avery Dennison Corporation,-6.88,Buy
78.56,3,1,17,ZTO,ZTO Express (Cayman) Inc.,14.24,Buy
78.52,2,2,3,NTES,"NetEase, Inc.",5.94,Buy
78.46,1,2,7,Z,"Zillow Group, Inc.",7.31,Buy
78.44,3,1,6,STL,Sterling Bancorp,25.55,Buy
78.43,3,1,5,AM,Antero Midstream Partners LP,18.81,Buy
78.42,1,2,8,CY,Cypress Semiconductor Corporation,13.79,Buy
78.41,3,1,7,TECK,Teck Resources Ltd,32.05,Buy
78.4,3,1,9,MDCO,The Medicines Company,45.33,Buy
78.4,2,2,7,CAL,"Caleres, Inc.",31.99,Buy
78.39,2,2,3,TEL,TE Connectivity Ltd.,5.3,Buy
78.37,3,1,17,HCM,Hutchison China MediTech Limited,13.49,Buy
78.37,3,1,6,EQM,"EQT Midstream Partners, LP",25.16,Buy
78.37,2,2,4,MRK,"Merck & Company, Inc.",11.87,Buy
78.34,2,2,3,TFX,Teleflex Incorporated,5.03,Buy
78.33,2,2,6,PWR,"Quanta Services, Inc.",24.96,Buy
78.25,3,1,4,FLEX,Flex Ltd.,11.24,Buy
78.21,3,1,6,FLT,"FleetCor Technologies, Inc.",24.36,Buy
78.21,3,1,3,ROG,Rogers Corporation,4.39,Buy
78.19,3,1,5,OTEX,Open Text Corporation,17.61,Buy
78.15,1,2,7,CC,Chemours Company (The),5.76,Buy
78.14,3,1,4,WNS,WNS (Holdings) Limited,10.69,Buy
78.13,2,2,5,LPL,"LG Display Co., Ltd.",17.34,Buy
78.12,2,2,2,BDX,"Becton, Dickinson and Company",-2.74,Buy
